0	lnc-ABCD2-1:1
1	lnc-ABHD3-1:2
2	lnc-ABRA-1:1
3	lnc-ABT1-3:10
4	lnc-AC006035.2-2:1
5	lnc-AC007952.1.1-1:1
6	lnc-AC007952.2-2:1
7	lnc-AC007952.2.1-1:1
8	lnc-AC009336.1-2:1
9	lnc-AC009336.1-5:1
10	lnc-AC010536.1-1:1
11	lnc-AC012652.1.1-1:2
12	lnc-AC068473.1-2:4
13	lnc-AC069257.9.1-3:2
14	lnc-AC073263.1-1:1
15	lnc-AC073343.1-2:1
16	lnc-AC106017.1.1-2:1
17	lnc-AC108463.1-3:7
18	lnc-AC108938.5.1-2:2
19	lnc-AC135048.13.1-1:1
20	lnc-ACACA-1:5
21	lnc-ACAP3-1:1
22	lnc-ACBD6-1:1
23	lnc-ACER2-1:1
24	lnc-ACOT1-2:1
25	lnc-ACOT12-1:2
26	lnc-ADAM8-1:2
27	lnc-ADARB1-3:15
28	lnc-ADARB1-3:5
29	lnc-ADD1-1:4
30	lnc-ADSS-1:1
31	lnc-AEBP1-1:1
32	lnc-AEBP2-3:1
33	lnc-AF131216.6.1-1:1
34	lnc-AGAP2-1:1
35	lnc-AGAP5-1:4
36	lnc-AGAP5-1:5
37	lnc-AGER-1:1
38	lnc-AGRN-1:1
39	lnc-AGRP-5:1
40	lnc-AHCY-1:1
41	lnc-AK1-1:1
42	lnc-AL358813.2-2:3
43	lnc-AL669831.1-5:1
44	lnc-AL669831.1-5:5
45	lnc-ALX1-1:1
46	lnc-ALX4-3:1
47	lnc-ALYREF-1:1
48	lnc-ANG-1:1
49	lnc-ANGEL1-1:3
50	lnc-ANGPT2-2:2
51	lnc-ANKMY1-2:1
52	lnc-ANKRD12-1:1
53	lnc-ANKRD36C-1:1
54	lnc-AP000769.1-2:1
55	lnc-AP000783.1.1-1:1
56	lnc-AP3B1-2:1
57	lnc-AP3S1-4:3
58	lnc-APC-6:2
59	lnc-APOA1-1:1
60	lnc-ARC-1:2
61	lnc-ARHGAP44-1:1
62	lnc-ARHGAP6-1:2
63	lnc-ARID3B-3:3
64	lnc-ARIH1-1:1
65	lnc-ASAH2B-2:1
66	lnc-ASH1L-1:3
67	lnc-ATG16L2-6:1
68	lnc-ATG2B-2:1
